MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
368006860,2017-12-12T00:00:00,30.05109,-90.59255,0.0,5.0,252.0,LIZ HEALY,IMO9840685,WDJ7456,,0,,,,
367163370,2017-12-12T00:00:00,37.82899,-76.27910,0.0,253.8,511.0,SMUGGLER'S POINT,IMO8942759,WDD5770,1001,15,53.8,9.8,,
367755990,2017-12-12T00:00:01,30.17263,-89.76386,0.0,258.7,511.0,CROSBY DREDGER,,WDJ2183,1005,3,,,,
366871480,2017-12-12T00:00:01,30.37950,-91.22923,8.1,222.2,217.0,MARGUERITE L TERRAL,IMO8976530,WDB2020,1025,12,30.14,9.8,,
367646240,2017-12-12T00:00:01,31.95264,-80.65129,3.0,110.5,511.0,JESSICA MARIE,,WDH7241,1001,0,19.96,,,
367652650,2017-12-12T00:00:01,33.34703,-118.32277,0.2,358.6,511.0,TWO HARBORS,,WDH7890,1012,0,24.75,6.4,,
367712180,2017-12-12T00:00:01,34.74879,-92.24054,0.0,360.0,511.0,JEFFREY LEE,,WDI5793,1025,15,14.05,,,
367430030,2017-12-12T00:00:01,29.93370,-89.99702,0.0,253.0,307.0,SAINT CHARLES,,WDF2626,1025,0,23.77,9.8,,
366995450,2017-12-12T00:00:00,30.44105,-91.22707,3.3,301.2,293.0,DELOS CASE,,WDC2600,1025,0,19.81,7.9,,
367949000,2017-12-12T00:00:04,58.35791,-134.68331,13.4,352.3,511.0,CG LIBERTY,,NJHT,1018,0,33.53,6.4,,
357428000,2017-12-12T00:00:02,27.87668,-97.28384,0.0,249.5,251.0,LEWEK CONSTELLATION,IMO9629756,3FOT,1005,3,178,46,,
367704430,2017-12-12T00:00:02,34.71518,-76.66321,0.0,253.0,511.0,CRYSTAL COAST LADY,IMO8967632,WDI5027,1012,15,24.47,7.86,,
367617020,2017-12-12T00:00:03,41.58829,-71.40826,0.1,21.9,71.0,BUCKLEY MCALLISTER,IMO9665449,WDH4370,1025,0,29.26,10.36,,
477066700,2017-12-12T00:00:03,34.92227,-123.84304,13.8,102.1,102.0,MOL BEACON,IMO9713337,VROB9,1004,0,337,48.2,,
367005190,2017-12-12T00:00:03,30.51271,-88.02137,7.7,175.0,511.0,JOHNNY SR,,WTP4938,1025,15,22.56,8.5,,
367782690,2017-12-12T00:00:01,40.64673,-74.02701,1.2,115.5,118.0,H202,,WDJ4943,1012,0,,,,
566913000,2017-12-12T00:00:04,29.32950,-94.57767,0.0,115.0,221.0,MTM MUMBAI,IMO9242338,9V2085,1024,1,183,32.23,,
367008090,2017-12-12T00:00:02,40.47105,-73.84587,6.5,193.1,197.0,NEW YORK,IMO7437068,WZH4694,1005,0,49.54,10.37,,
366995840,2017-12-12T00:00:04,29.75252,-95.09422,6.3,201.8,205.0,BIG AL,,WDC2635,1025,0,17.19,6.7,,
